BloombergExchangeCode,NirvanaExchangeCode
"AMX","AMEX"
"NR","EU_ARCA"
"UP","EU_ARCA"
"NYSE ARCA","EU_ARCA"
"ATHENS","ATH"
"GA","ATH"
"AA","ATH"
"AD","ATH"
"ADE","ATH"
"XT","ATH"
"AP","ATH"
"ASX","ASX"
"AUSTRALIA","ASX"
"AU","ASX"
"AOM","ASX"
"IB","BSE"
"BN","BSP"
"BS","BSP"
"BZ","BSP"
"BV","BSP"
"CBT","CBT"
"CM","CME"
"CME","CMEE"
"BD","DSE"
"DHAKA","DSE"
"GR","DT"
"SW","DT"
"EUX","DT"
"BB","BEL"
"EURONEXT-BRUSS","BEL"
"EURONEXT-PARIS","EEB"
"EN","EEB"
"SCOACH-FRANKFURT","DBG"
"NF","DBG"
"GF","DBG"
"FRANKFURT","DBG"
"FH","HEL"
"HEX","HEL"
"NASDAQ","NASD"
"UR","NASD"
"UQ","NASD"
"SJ","JSE"
"UW","NASD"
"US","NASD"
"UA","NYSE"
"NYSE MKT LLC","NYSE"
"NDM","NYME"
"NYE","NYME"
