"SecurityType","AssetCategory"
"Common Stock","Equity"
"Preferred","Equity"
"Preference","Equity"
"PRIVATE","Equity"
"PUBLIC","Equity"
"Pvt Eqty Fund","PrivateEquity"
"Private Eqty","PrivateEquity"
"Private Comp","PrivateEquity"
"Equity Option","EquityOption"
"Equity OTC Option","EquityOption"
"Index Option","Option"
"Index OTC Option","Option"
"Financial index option.","Option"
"Physical index option.","Option"
"Financial index future.","Future"
"Index Future","Future"
"Physical index future.","Future"
"Financial commodity future.","Future"
"Physical commodity forward.","Future"
"Physical commodity future.","Future"
"Financial commodity spot.","Future"
"Physical commodity spot.","Future"
"CONTRACT FOR DIFFERENCE","Future"
"DIVIDEND NEUTRAL STOCK FUTURE","Future"
"SINGLE STOCK FORWARD","Future"
"SINGLE STOCK FUTURE","Future"
"Currency option.","FutureOption"
"Equity Index","Indices"
"Spot index.","Indices"
"Non-Equity Index","Indices"
"Fixed Income Index","Indices"
"Commodity Index","Indices"
"Physical commodity option.","FutureOption"
"Calendar Spread Option","FutureOption"
"Financial commodity option.","FutureOption"
"CROSS","FX" 
"SPOT","FX"
"Currency spot.","FX"
"FORWARD","FXForward"
"Currency future.","Future"
"FUTURE","Future"
"FORWARD CROSS","FXForward"
"BANK BILL","FixedIncome"
"COMMERCIAL PAPER","FixedIncome"
"Equity","Equity"
"Pfd","Equity"
"Equity Comdty","Future"
"Comdty","Future"
"Curncy","Future"
"Index","Indices"
"Bond","FixedIncome"
"Govt","FixedIncome"
"Corp","FixedIncome"
"Mtge","FixedIncome"
"Muni","FixedIncome"
"Mmkt","FixedIncome"
"Mmkt Curncy","FixedIncome"
