"SecurityType","1(Ticker)+2(Exchange)+3(MarketSector)"
"Common Stock","123"
"Preferred","123"
"Preference","123"
"PRIVATE","123"
"PUBLIC","123"
"Pvt Eqty Fund","123"
"Private Eqty","123"
"Private Comp","123"
"Equity Option","123"
"Equity OTC Option","123"
"Index Option","13"
"Index OTC Option","13"
"Financial index option.","13"
"Physical index option.","13"
"Financial index future.","13"
"Index Future","13"
"Physical index future.","13"
"Financial commodity future.","13"
"Physical commodity forward.","13"
"Physical commodity future.","13"
"Financial commodity spot.","13"
"Physical commodity spot.","13"
"CONTRACT FOR DIFFERENCE","13"
"DIVIDEND NEUTRAL STOCK FUTURE","13"
"SINGLE STOCK FORWARD","13"
"SINGLE STOCK FUTURE","13"
"Currency option.","13"
"Equity Index","1"
"Spot index.","1"
"Non-Equity Index","13"
"Fixed Income Index","13"
"Commodity Index","1"
"Physical commodity option.","13"
"Calendar Spread Option","13"
"Financial commodity option.","13"
"CROSS","13" 
"SPOT","13"
"Currency spot.","13"
"FORWARD","13"
"Currency future.","13"
"FUTURE","13"
"FORWARD CROSS","13"
"BANK BILL","13"
"COMMERCIAL PAPER","13"
"Equity","123"
"Pfd","123"
"Equity Comdty","13"
"Comdty","13"
"Curncy","13"
"Index","13"
"Bond","13"
"Govt","13"
"Corp","13"
"Mtge","13"
"Muni","13"
"Mmkt","13"
"Mmkt Curncy","13"
